"","word","media_agrado","media_activacion","media_imaginabilidad","sd_agrado","sd_activacion","sd_imaginabilidad","tipo"
"293","división",2,2.8,2.8,0,0.4472,0.4472,"sustantivo"
"294","allá",2,2.2,2.6,0,0.8367,0.5477,"adverbio"
"295","término",2,1.8,1.8,0,0.4472,0.8367,"sustantivo"
"296","reino",2.4,2.2,2.6,0.5477,0.4472,0.5477,"sustantivo"
"297","triste",1,1.8333,3,0,0.7528,0,"adjetivo"
"298","lágrima",1.8333,2.5,3,0.4082,0.5477,0,"sustantivo"
"299","producción",2.5,2.8333,2.5,0.5477,0.4082,0.5477,"sustantivo"
"300","dirección",2.1667,2.8333,2.5,0.4082,0.4082,0.8367,"sustantivo"
"301","república",2.3333,2.1667,2.1667,0.5164,0.4082,0.9832,"sustantivo"
"302","respuesta",2.1667,2.8333,1.8333,0.4082,0.4082,0.7528,"sustantivo"
"303","acción",2.6,3,2.8,0.5477,0,0.4472,"sustantivo"
"304","necesario",2,1.8,1.6,0.7071,0.4472,0.8944,"adjetivo"
"305","natural",2.2,2,2.4,0.4472,0,0.5477,"adjetivo"
"306","autor",2.2,2.6,3,0.4472,0.5477,0,"sustantivo"
"307","soledad",1.4,1.2,3,0.5477,0.4472,0,"sustantivo"
"308","malo",1,2.2,3,0,0.4472,0,"adjetivo"
"309","oficial",2,2.2,2,0,0.4472,0.7071,"adjetivo"
"310","televisión",2.2,1.8,3,0.4472,0.8367,0,"sustantivo"
"311","cabo",1.8,1.6,2.4,0.4472,0.5477,0.8944,"sustantivo"
"312","todavía",2.4,1.8,1.8,0.5477,0.8367,0.8367,"adverbio"
"313","geografía",2.2,1.8,2.4,0.4472,0.4472,0.5477,"sustantivo"
"314","económico",2.2,1.8,2.6,0.4472,0.4472,0.8944,"adjetivo"
"315","favor",2.6,2.8,2.6,0.5477,0.4472,0.5477,"sustantivo"
"316","jamás",1.8,2,2.2,0.4472,0.7071,0.8367,"adverbio"
"317","director",2,2.4,2.8,0,0.5477,0.4472,"sustantivo"
"318","habitación",2,2,3,0,0,0,"sustantivo"
"319","género",2,1.8,2,0,0.4472,0.7071,"sustantivo"
"320","comunidad",2.6,2,3,0.5477,0,0,"sustantivo"
"321","cierto",2.4,2.2,1.8,0.5477,0.4472,0.8367,"adjetivo"
"322","puerto",2.4,1.8,2.8,0.5477,0.4472,0.4472,"sustantivo"
"323","deseo",2.4,3,2.4,0.5477,0,0.8944,"sustantivo"
"324","posición",2.2,2.2,2.4,0.4472,0.8367,0.5477,"sustantivo"
"325","década",2.2,2,2.2,0.4472,0.7071,1.0954,"sustantivo"
"326","verde",2.4,2.2,3,0.5477,0.4472,0,"adjetivo"
"327","dedo",2.2,2.2,3,0.4472,0.4472,0,"sustantivo"
"328","esposo",1.8,2.4,2.8,0.4472,0.5477,0.4472,"sustantivo"
"329","pared",1.6,1.8,3,0.5477,0.8367,0,"sustantivo"
"330","barrio",2.4,2.4,3,0.5477,0.8944,0,"sustantivo"
"331","efecto",2.4,2.8,1.6,0.5477,0.4472,0.8944,"sustantivo"
"332","parque",2.8,2.2,3,0.4472,0.8367,0,"sustantivo"
"333","fiesta",2.4,2.8,3,0.5477,0.4472,0,"sustantivo"
"334","negro",2.4,2.4,3,0.5477,0.5477,0,"sustantivo"
"335","perro",2.2,2.6,3,0.8367,0.5477,0,"sustantivo"
"336","fuente",2.2,1.2,3,0.4472,0.4472,0,"sustantivo"
"337","segundo",2,1.6,1.8,0,0.5477,0.8367,"sustantivo"
"338","memoria",2.2,2.4,2,0.4472,0.8944,1,"sustantivo"
"339","cultura",2.8,2.6,2,0.4472,0.5477,1,"sustantivo"
"340","resultado",2.2,1.6,1.8,0.4472,0.8944,0.8367,"sustantivo"
"341","nuevamente",2,1.8,1.8,0,0.4472,1.0954,"adverbio"
"342","pecho",2.1667,1.3333,3,0.4082,0.5164,0,"sustantivo"
"343","profesor",2.2,2.2,3,0.4472,0.8367,0,"sustantivo"
"344","capital",2.4,1.8,2.4,0.5477,0.8367,0.8944,"sustantivo"
"345","existencia",2.6,2,1.8,0.5477,0.7071,0.8367,"sustantivo"
"346","episodio",2.2,2,2.4,0.4472,0.7071,0.8944,"sustantivo"
"347","verdadero",3,2.4,1.8,0,0.5477,0.4472,"adjetivo"
"348","figura",2,2,2.8,0,0.7071,0.4472,"sustantivo"
"349","jefe",1.6,2.6,3,0.5477,0.5477,0,"sustantivo"
"350","pena",1.2,1.8,2.2,0.4472,1.0954,1.0954,"sustantivo"
"351","carta",2,2.4,3,0,0.5477,0,"sustantivo"
"352","atrás",1.8,1.8,2.6,0.4472,0.4472,0.5477,"adverbio"
"353","grito",1.4,3,3,0.5477,0,0,"sustantivo"
"354","demasiado",1.6,1.8,2,0.5477,0.4472,0.7071,"adverbio"
